Cell Id,Address
303-32-4123-45,"D/3, GaneshGanj Rd, Raj Bhavan Colony, Aminabad, Lucknow, Uttar Pradesh 226001, India"
410-23-2415-12,"Fawn Brake Avenue, Husainganj, Lucknow, Uttar Pradesh 226001, India"
410-23-1414-41,"Kabir Marg, Husainganj, Lucknow, Uttar Pradesh 226018, India"
303-41-3424-234,"Mall Ave, Mall Rd, Sarva Palli, The Mall Avenue, Lucknow, Uttar Pradesh 226001, India"
404-12-5443-33,"Hata Ramdas, Neil Lines, Cantonment, Lucknow, Uttar Pradesh 226002, India"
404-45-1234-123,"Nh-25, Udaiganj, Husainganj, Lucknow, Uttar Pradesh 226001, India"
403-20-4353-49,"pwd, Raj Bhavan Colony, The Mall Avenue, Lucknow, Uttar Pradesh 226001, India"
303-12-3211-33,"5th Floor, Opposite Bahujan Samaaj Prerna Kendra, Green Height Apartments LBS Marg, Mall Avenue, The Mall Avenue, Lucknow, Uttar Pradesh 226001, India"
402-23-1233-42,"Khalifa Idu Marg, Murli Nagar, Husainganj, Lucknow, Uttar Pradesh 226018, India"
404-10-3232-311,"Jai Narayan Inter Collage, Motilal Nehru Marg, Charbagh, Lucknow, Uttar Pradesh 226001, India"
